event_date,actor_origin,scope,events
2023-12-12,Israel,Ampliat,13
2023-12-12,Hezbollah,CNN,9
2023-12-12,Hezbollah,Ampliat,9
2023-12-13,Israel,CNN,27
2023-12-13,Israel,Ampliat,27
2023-12-13,Hezbollah,CNN,9
2023-12-13,Hezbollah,Ampliat,9
2023-12-14,Israel,CNN,25
2023-12-14,Israel,Ampliat,25
2023-12-14,Hezbollah,CNN,3
2023-12-14,Hezbollah,Ampliat,3
2023-12-15,Israel,CNN,35
2023-12-15,Israel,Ampliat,35
2023-12-15,Hezbollah,CNN,8
2023-12-15,Hezbollah,Ampliat,8
2023-12-16,Israel,CNN,30
2023-12-16,Israel,Ampliat,30
2023-12-16,Hezbollah,CNN,4
2023-12-16,Hezbollah,Ampliat,4
2023-12-17,Israel,CNN,26
2023-12-17,Israel,Ampliat,29
2023-12-17,Hezbollah,CNN,11
2023-12-17,Hezbollah,Ampliat,11
2023-12-18,Israel,CNN,16
2023-12-18,Israel,Ampliat,19
2023-12-18,Hezbollah,CNN,4
2023-12-18,Hezbollah,Ampliat,4
2023-12-19,Israel,CNN,35
2023-12-19,Israel,Ampliat,35
2023-12-19,Hezbollah,CNN,3
2023-12-19,Hezbollah,Ampliat,3
2023-12-20,Israel,CNN,32
2023-12-20,Israel,Ampliat,34
2023-12-20,Hezbollah,CNN,5
2023-12-20,Hezbollah,Ampliat,5
2023-12-21,Israel,CNN,23
2023-12-21,Israel,Ampliat,23
2023-12-21,Hezbollah,CNN,8
2023-12-21,Hezbollah,Ampliat,10
2023-12-22,Israel,CNN,19
2023-12-22,Israel,Ampliat,19
2023-12-22,Hezbollah,CNN,5
2023-12-22,Hezbollah,Ampliat,5
2023-12-23,Israel,CNN,17
2023-12-23,Israel,Ampliat,17
2023-12-23,Hezbollah,CNN,7
2023-12-23,Hezbollah,Ampliat,7
2023-12-24,Israel,CNN,19
2023-12-24,Israel,Ampliat,19
2023-12-24,Hezbollah,CNN,6
2023-12-24,Hezbollah,Ampliat,6
2023-12-25,Israel,CNN,24
2023-12-25,Israel,Ampliat,25
2023-12-25,Hezbollah,CNN,11
2023-12-25,Hezbollah,Ampliat,11
2023-12-26,Israel,CNN,30
2023-12-26,Israel,Ampliat,33
2023-12-26,Hezbollah,CNN,9
2023-12-26,Hezbollah,Ampliat,10
2023-12-27,Israel,CNN,20
2023-12-27,Israel,Ampliat,21
2023-12-27,Hezbollah,CNN,6
2023-12-27,Hezbollah,Ampliat,7
2023-12-28,Israel,CNN,18
2023-12-28,Israel,Ampliat,20
2023-12-28,Hezbollah,CNN,5
2023-12-28,Hezbollah,Ampliat,6
2023-12-29,Israel,CNN,24
2023-12-29,Israel,Ampliat,27
